date,revenue,profit,orders,expense,customer_name,category,region,product_name,order_id,customer_id,sales_rep,payment_method,quantity,discount
2024-01-15,12500.50,3125.12,45,9375.38,Acme Corporation,Electronics,West,Wireless Headphones,ORD-2024-0015,CUST-ACME-001,Sarah Johnson,Credit Card,25,0.10
2024-01-16,18900.75,4725.19,62,14175.56,Tech Solutions Inc,Electronics,East,Smartphone Case,ORD-2024-0016,CUST-TECH-002,Michael Chen,PayPal,42,0.05
2024-01-17,15200.00,3800.00,38,11400.00,Global Industries,Office Supplies,South,Desk Organizer,ORD-2024-0017,CUST-GLOB-003,Emily Rodriguez,Bank Transfer,30,0.00
2024-01-18,22100.25,5525.06,78,16575.19,Digital Ventures,Electronics,West,USB-C Cable,ORD-2024-0018,CUST-DIGI-004,David Kim,Credit Card,55,0.15
2024-01-19,9800.50,2450.12,29,7350.38,Prime Services,Office Supplies,North,Notebook Set,ORD-2024-0019,CUST-PRIM-005,Lisa Anderson,Debit Card,18,0.08
2024-01-20,16750.00,4187.50,55,12562.50,Innovation Labs,Electronics,East,Wireless Mouse,ORD-2024-0020,CUST-INNO-006,James Wilson,Credit Card,38,0.12
2024-01-21,13400.75,3350.19,42,10050.56,Corporate Solutions,Office Supplies,South,File Cabinet,ORD-2024-0021,CUST-CORP-007,Maria Garcia,PayPal,28,0.00
2024-01-22,19800.00,4950.00,68,14850.00,Tech Partners,Electronics,West,Bluetooth Speaker,ORD-2024-0022,CUST-TECH-008,Robert Taylor,Credit Card,48,0.10
2024-01-23,11200.25,2800.06,35,8400.19,Business Essentials,Office Supplies,North,Desk Lamp,ORD-2024-0023,CUST-BUSI-009,Jennifer Lee,Bank Transfer,22,0.05
2024-01-24,24500.50,6125.12,85,18375.38,Advanced Systems,Electronics,East,Tablet Stand,ORD-2024-0024,CUST-ADVA-010,Christopher Brown,Credit Card,65,0.18
2024-01-25,15600.00,3900.00,48,11700.00,Enterprise Group,Office Supplies,South,Paper Shredder,ORD-2024-0025,CUST-ENTE-011,Amanda White,Debit Card,35,0.00
2024-01-26,17800.75,4450.19,59,13350.56,Modern Tech,Electronics,West,Phone Charger,ORD-2024-0026,CUST-MODE-012,Daniel Martinez,PayPal,42,0.08
2024-01-27,10200.50,2550.12,32,7650.38,Office Depot,Office Supplies,North,Stapler Set,ORD-2024-0027,CUST-OFFI-013,Olivia Davis,Credit Card,20,0.10
2024-01-28,21300.00,5325.00,72,15975.00,Digital Solutions,Electronics,East,Webcam HD,ORD-2024-0028,CUST-DIGI-014,William Thompson,PayPal,58,0.12
2024-01-29,14100.25,3525.06,44,10575.19,Corporate Supplies,Office Supplies,South,Monitor Stand,ORD-2024-0029,CUST-CORP-015,Sophia Harris,Bank Transfer,32,0.05
2024-01-30,18950.50,4737.62,66,14212.88,Tech Innovations,Electronics,West,Keyboard Wireless,ORD-2024-0030,CUST-TECH-016,Matthew Clark,Credit Card,50,0.15
2024-02-01,12300.00,3075.00,39,9225.00,Business Tools,Office Supplies,North,Calculator,ORD-2024-0031,CUST-BUSI-017,Emma Lewis,Debit Card,26,0.00
2024-02-02,20100.75,5025.19,69,15075.56,Global Tech,Electronics,East,Power Bank,ORD-2024-0032,CUST-GLOB-018,Noah Walker,PayPal,52,0.10
2024-02-03,15900.50,3975.12,51,11925.38,Office Solutions,Office Supplies,South,Desk Mat,ORD-2024-0033,CUST-OFFI-019,Isabella Hall,Credit Card,38,0.08
2024-02-04,22700.00,5675.00,79,17025.00,Advanced Electronics,Electronics,West,USB Hub,ORD-2024-0034,CUST-ADVA-020,Ethan Allen,PayPal,62,0.12
2024-02-05,10800.25,2700.06,34,8100.19,Prime Office,Office Supplies,North,Binder Set,ORD-2024-0035,CUST-PRIM-021,Mia Young,Bank Transfer,24,0.05
2024-02-06,17500.50,4375.12,58,13125.38,Tech Systems,Electronics,East,Screen Protector,ORD-2024-0036,CUST-TECH-022,Alexander King,Credit Card,45,0.10
